id,idade,escolaridade,anos_experiencia,area_atuacao,habilidades_digitais,renda_mensal,setor_industria,perfil
1,28,superior,5,TI,8,4500,tecnologia,tech_avancado
2,45,medio,20,administracao,4,3200,servicos,tradicional
3,35,superior,10,marketing,7,5800,comercio,digital_intermediario
4,52,fundamental,25,producao,2,2800,industria,tradicional
5,29,superior,4,design,9,4200,tecnologia,tech_avancado
6,41,pos_graduacao,15,financas,6,7500,financeiro,digital_intermediario
7,38,superior,12,vendas,5,4800,comercio,digital_intermediario
8,55,medio,30,logistica,3,3500,transporte,tradicional
9,26,superior,2,dados,10,5500,tecnologia,tech_avancado
10,48,superior,18,rh,5,5200,servicos,digital_intermediario
11,33,pos_graduacao,8,engenharia,7,8200,industria,digital_intermediario
12,44,medio,22,atendimento,3,2900,servicos,tradicional
13,31,superior,6,produto,8,6800,tecnologia,tech_avancado
14,50,fundamental,28,operacao,2,2500,industria,tradicional
15,27,superior,3,dev,9,5200,tecnologia,tech_avancado
16,39,pos_graduacao,14,consultoria,7,9500,servicos,digital_intermediario
17,43,superior,17,juridico,4,7800,servicos,tradicional
18,30,superior,7,ux,8,5900,tecnologia,tech_avancado
19,47,medio,23,manutencao,3,3400,industria,tradicional
20,34,superior,9,analytics,9,6500,tecnologia,tech_avancado
21,42,pos_graduacao,16,gestao,6,8800,comercio,digital_intermediario
22,36,superior,11,comunicacao,7,4900,servicos,digital_intermediario
23,53,medio,27,seguranca,3,3100,servicos,tradicional
24,25,superior,1,ai,10,4800,tecnologia,tech_avancado
25,49,superior,20,qualidade,5,6200,industria,digital_intermediario
26,32,superior,8,ecommerce,8,5400,comercio,tech_avancado
27,46,fundamental,24,transporte,2,2700,transporte,tradicional
28,29,pos_graduacao,5,pesquisa,9,7200,educacao,tech_avancado
29,40,superior,13,projetos,6,6900,servicos,digital_intermediario
30,51,medio,26,almoxarifado,3,2900,industria,tradicional
31,28,superior,4,mobile,9,5100,tecnologia,tech_avancado
32,37,superior,10,supply,6,5700,logistica,digital_intermediario
33,44,medio,19,recepcao,4,3000,servicos,tradicional
34,30,superior,6,cloud,10,6800,tecnologia,tech_avancado
35,48,pos_graduacao,17,estrategia,7,9200,comercio,digital_intermediario
36,35,superior,9,conteudo,7,4700,marketing,digital_intermediario
37,54,fundamental,29,portaria,2,2600,servicos,tradicional
38,26,superior,2,blockchain,9,5600,tecnologia,tech_avancado
39,41,superior,14,controladoria,5,7100,financeiro,digital_intermediario
40,33,superior,8,crm,7,5300,comercio,digital_intermediario
41,45,medio,21,estoque,3,3200,comercio,tradicional
42,31,pos_graduacao,7,datascience,10,7800,tecnologia,tech_avancado
43,49,superior,19,compliance,5,8500,financeiro,digital_intermediario
44,27,superior,3,frontend,9,4900,tecnologia,tech_avancado
45,52,medio,25,limpeza,2,2400,servicos,tradicional
46,34,superior,9,backend,9,6200,tecnologia,tech_avancado
47,43,pos_graduacao,15,auditoria,6,8900,financeiro,digital_intermediario
48,38,superior,11,seo,7,5100,marketing,digital_intermediario
49,47,fundamental,23,montagem,3,3100,industria,tradicional
50,29,superior,5,devops,10,6500,tecnologia,tech_avancado
51,36,superior,10,bi,8,6100,tecnologia,tech_avancado
