id,perfil,area_interesse,nivel_atual,curso_recomendado,duracao_horas,custo,modalidade,score_relevancia
1,tech_avancado,ia_ml,avancado,Deep Learning Especializado,120,2500,online,95.5
2,tradicional,tecnologia_basica,iniciante,Introducao a Informatica,40,300,presencial,88.2
3,digital_intermediario,marketing_digital,intermediario,Growth Marketing Avancado,80,1200,hibrido,91.7
4,tradicional,qualificacao_tecnica,iniciante,Automacao Industrial Basica,60,500,presencial,85.3
5,tech_avancado,desenvolvimento,avancado,Arquitetura de Software,100,2200,online,94.8
6,digital_intermediario,financas,intermediario,Analise de Dados Financeiros,70,1500,online,89.6
7,digital_intermediario,vendas,intermediario,CRM e Automacao de Vendas,50,900,hibrido,87.4
8,tradicional,logistica,iniciante,Gestao de Transporte,45,400,presencial,84.1
9,tech_avancado,ciencia_dados,avancado,MLOps e Deploy de Modelos,110,2400,online,96.2
10,digital_intermediario,gestao_pessoas,intermediario,People Analytics,65,1100,online,88.9
11,digital_intermediario,engenharia,intermediario,Industria 4.0,90,1800,hibrido,90.5
12,tradicional,atendimento,iniciante,Comunicacao Efetiva,35,250,presencial,82.7
13,tech_avancado,produto,avancado,Product Management Digital,95,2100,online,93.4
14,tradicional,producao,iniciante,Lean Manufacturing,55,450,presencial,83.9
15,tech_avancado,mobile,avancado,React Native Avancado,85,1900,online,92.1
16,digital_intermediario,consultoria,intermediario,Business Intelligence,75,1400,online,89.2
17,tradicional,juridico,intermediario,Direito Digital,60,800,hibrido,86.5
18,tech_avancado,design,avancado,Design Systems,70,1600,online,91.3
19,tradicional,manutencao,iniciante,Manutencao Preditiva,50,400,presencial,84.8
20,tech_avancado,analytics,avancado,Big Data Engineering,115,2600,online,95.7
21,digital_intermediario,comercio,intermediario,E-commerce Strategy,80,1300,online,88.4
22,digital_intermediario,comunicacao,intermediario,Marketing de Conteudo,55,950,hibrido,87.8
23,tradicional,seguranca,iniciante,Seguranca do Trabalho Digital,40,350,presencial,83.2
24,tech_avancado,ia,avancado,Computer Vision,105,2300,online,96.8
25,digital_intermediario,qualidade,intermediario,Six Sigma Digital,70,1250,online,89.7
26,tech_avancado,ecommerce,avancado,Plataformas de E-commerce,75,1700,online,92.6
27,tradicional,transporte,iniciante,Logistica Urbana,35,300,presencial,81.5
28,tech_avancado,pesquisa,avancado,Metodologia de Pesquisa em IA,90,2000,online,94.2
29,digital_intermediario,projetos,intermediario,Agile e Scrum Avancado,60,1100,online,88.1
30,tradicional,estoque,iniciante,Gestao de Estoque,45,400,presencial,82.9
31,tech_avancado,mobile,avancado,Flutter Development,80,1850,online,93.1
32,digital_intermediario,supply_chain,intermediario,Supply Chain Analytics,85,1450,online,90.1
33,tradicional,atendimento,iniciante,Experiencia do Cliente,40,300,presencial,83.6
34,tech_avancado,cloud,avancado,AWS Solutions Architect,120,2800,online,97.1
35,digital_intermediario,estrategia,intermediario,Planejamento Estrategico Digital,75,1350,hibrido,89.8
36,digital_intermediario,conteudo,intermediario,SEO e Content Strategy,55,900,online,87.2
